player1,player2,results_set,upset_results_set,num_runs_s1,num_non_upset,num_upsets,num_matches,ww_z_s1,p_val_1_s1,p_val_2_s1,num_runs_s2,num_uw,num_ul,ww_z_s2,p_val_1_s2,p_val_2_s2,p_val_1_s1_adj,p_val_2_s1_adj,p_val_1_s2_adj,p_val_2_s2_adj
Dancevic F.,Novikov D.,"[('2017-07-19', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Sandgren T.,"[('2017-07-18', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Dupuis A.,"[('2005-07-05', 'U'), ('2006-04-12', 'U')]","[('2005-07-05', 'UL'), ('2006-04-12', 'UL')]",1,,,,,,,,,,,,,
Blake J.,Wang Y.T.,"[('2006-02-15', 'U'), ('2006-06-28', 'N')]","[('2006-02-15', 'UL')]",2,1,1,2,,,,,,,,,,
Blake J.,Mello R.,"[('2007-07-27', 'N'), ('2011-02-15', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Lopez F.,"[('2005-08-28', 'N'), ('2008-10-24', 'U'), ('2010-07-30', 'U')]","[('2008-10-24', 'UL'), ('2010-07-30', 'UL')]",2,1,2,3,0.7071067811865469,0.2397500610934769,0.4795001221869538,,,,,,,
Blake J.,Monaco J.,"[('2006-08-30', 'N'), ('2007-04-14', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Mayer F.,"[('2007-02-03', 'N'), ('2009-10-06', 'N'), ('2012-09-19', 'U'), ('2013-02-19', 'N')]","[('2012-09-19', 'UL')]",3,3,1,4,1.0,0.15865525393145707,0.31731050786291415,,,,,,,
Blake J.,Kim K.,"[('2006-08-02', 'N'), ('2007-01-09', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Calleri A.,"[('2007-08-23', 'N'), ('2008-04-19', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Zib T.,"[('2005-08-05', 'N')]",[],1,,,,,,,,,,,,,
